ADAM17,BRCA1,LGALS3,LTA,MAPK14,MCAM,CIITA,MIF,MMP9,MNDA,MSH2,C1QA,MYC,NAB2,NBEA,NEDD4L,NEDD9,NFATC1,NFKB1,NME4,NRAS,NUCKS1,FAM210B,NUDT4,PBX1,PDE3B,PDGFA,PLA2G7,PLAUR,PLEK2,PLXDC2,PTEN,NLRC4,PTGS2,PTPRC,PTPRK,RBM5,RHOC,DENND2D,S100A4,S100A6,SCN3A,SERPINA1,CASP1,SERPINE1,SIAH2,SLC4A1,SOCS1,SPARC,SOCS3,ST14,TGFB1,THBS1,TIMP1,CASP3,TLK2,TLR2,TLR4,TLR9,TMOD1,TNF,TNFRSF13B,TNFRSF1A,TNFRSF1B,CD40LG,FASLG,TNS1,TP53,TSPAN5,TXNRD1,UBE2C,VEGFA,XK,ZBTB10,CCND1,CCR3,ALOX5,CCR5,CCR7,CCR9,CD19,CD28,CD4,CD40,CD80,CD86,CD8A,ANLN,CDC25A,CDH1,CDK2,CDKN1A,CDKN1B,CDKN2A,CDKN2D,CHPT1,CNKSR2,APAF1,CSF2,CTLA4,CTSD,CXCL1,CXCL10,CXCR3,DLC1,DPP4,E2F1,AXIN2,EGR1,ELANE,ERBB2,F5,FCGR2B,FOS,FOXP3,FYN,GADD45A,GLRX5,BAD,GYPA,GYPB,GZMA,GZMB,HLA-DRA,HMGA1,HMGB1,HMOX1,HOXA10,HSPA1A,BAX,ICAM1,ICOS,IFI16,IFNG,IGF2BP2,IL10,IL12B,IL15,IL18,BLVRB,IL18BP,IL1B,IL1R1,IL1R2,IL1RN,IL2,IL23A,IL2RA,IL32,IL5,BPGM,IL6,IL7R,CXCL8,INPP4B,IRAK3,IRF1,ITGA4,ITGAL,LCK,response
0.001020598,0.000120262,0.0525185,5.42E-06,0.001276856,0.002019059,0.000176148,0.083792984,0.001362445,0.000511167,0.000769283,0.011106165,0.003388724,0.001558501,0.000216619,0.001059775,0.000449925,0.000319202,0.000975673,0.004579175,0.002527847,0.004301061,0.003342881,0.001436724,0.000161145,0.000382069,0.000382789,0.000709579,0.000949816,2.47E-05,0.00039292,0.000918101,6.00E-05,1.58E-05,0.000913594,0.000445007,0.001825678,0.010750924,0.000229265,0.208869692,0.295789235,5.38E-06,0.000427585,0.002337378,0.001757104,0.000654876,3.94E-06,0.000102967,0.068059544,0.0012222,0.00022823,0.001951251,0.001674046,0.073846124,0.001110115,0.000832998,0.000201591,0.000389183,2.17E-05,6.74E-05,5.48E-06,1.21E-05,0.00468438,0.000908767,7.68E-05,6.43E-05,0.000664146,0.000730932,0.000163893,0.004344197,0.001828152,0.001033383,6.92E-07,0.000318373,0.002684484,5.65E-06,0.000438224,0.000353344,0.000146,7.80E-07,1.12E-05,0.000132675,0.00154456,0.000476107,2.57E-05,0.000283909,0.000428356,0.000637653,0.000104461,0.003165961,0.003997268,0.001169831,0.001601284,0.005286065,0.000996467,0.00267336,8.40E-05,0.00020914,2.37E-05,0.000145919,0.023634333,0.000204723,0.001357774,0.000289953,0.000524283,0.000369861,0.000238974,7.15E-05,0.002501926,2.33E-05,0.000797187,1.98E-05,0.000747758,0.00371604,0.000215013,0.001787602,0.002303065,0.002108475,0.001883207,0,0,0.000725983,0.000194243,0.004176788,0.006334646,0.012485124,0.001919055,0.00017504,1.39E-05,0.003131031,0.002158222,0.000100744,0.012073348,3.92E-05,0.000830468,7.32E-05,1.08E-05,0.000107322,0.000377031,0.004376019,0.000733083,8.86E-05,0.001597274,7.15E-05,6.22E-05,4.37E-06,3.43E-05,0.000135367,0.003042961,0,0.001252587,0.000111612,0.000327653,0.000190412,0.000715963,0.000111056,0.000668114,0.000168012,0.000252348,0.000324968,0
0.000905785,0.000137436,0.03514184,0,0.00193941,0.007658422,0.000559377,0.017855516,0.000297012,0.00120852,0.000718709,0.017958993,0.005920767,0.002682795,0.000273327,0.001718344,0.001963422,0.000789742,0.001004202,0.007716273,0.001562494,0.007181139,0.010300599,0.000853618,9.75E-05,0.000313533,0.001155671,0.000364727,0.000557823,9.03E-05,0.000401916,0.001525447,0.000108873,0.000336295,0.001837569,0.000703351,0.002173584,0.010472375,0.000306985,0.033358335,0.127137828,1.23E-06,0.342578314,0.004190403,0.002917234,0.001228768,1.97E-06,0.000335586,0.016687848,0.00255506,0.000367646,0.003181925,0.000414432,0.034326222,0.00163967,0.000930742,0.00063256,0.001335031,1.03E-05,0.000477589,7.99E-06,3.22E-06,0.005320477,0.000971903,8.45E-05,0.000112482,0.000650487,0.001181187,7.17E-05,0.002991148,0.000606245,0.001725215,1.97E-05,0.000476778,0.007456685,2.80E-05,0.000543596,0.000407147,0.00011704,1.16E-06,3.62E-06,6.66E-05,0.002593581,0.000673869,6.25E-05,0.000655591,0.000885495,0.000218684,5.52E-05,0.011828815,0.013160721,0.002690247,0.00526761,0.003554762,0.000399435,0.009720899,1.17E-05,0.000405736,1.47E-05,0.000152281,0.033895822,0.000335976,0.008069123,0.000224355,0.001023842,0.000371262,0.000145314,0.000565386,0.015666738,8.07E-06,0.001506479,0.00184952,0.000637492,0.034249608,4.81E-05,0.002485664,0.002854695,0.005400736,0.002576851,0,0,0.000910358,0.000168452,0.005601253,0.004707811,0.014886617,0.003644437,5.93E-05,4.70E-06,0.006949177,0.005804169,9.96E-05,0.009811219,0.000231062,0.000220758,7.44E-05,2.62E-05,0.000215466,0.00155274,0.011299643,0.001054168,0.000707335,0.001416232,0.000139051,0.001215798,9.83E-06,2.71E-05,9.01E-05,0.013270457,0,0.001458679,3.52E-05,0.000299197,0.00075911,0.000295362,7.08E-05,0.003073066,0.000323673,0.000512099,0.000327165,1
0.001848852,0.001303702,0.008243017,5.00E-06,0.003434661,0.013642526,0.000276881,0.166660739,0.001178738,0.002760444,0.00285408,0.030438511,0.012353431,0.00797342,0.000564826,0.003848552,0.003840888,0.000568889,0.001191096,0.027623884,0.004209693,0.024329577,0.030269938,0.002549006,0.002162892,0.00129266,0.00998858,0.00197536,0.000516242,0.000171845,0.000218903,0.00236091,0.000158392,0.000115156,0.002368271,0.00048967,0.005254911,0.010445362,0.00031329,0.01341687,0.061235785,6.99E-06,0.001574328,0.000966135,0.000348699,0.00145207,1.98E-05,0.000116868,0.050880908,0.001584452,0.000174379,0.001791214,0.001536747,0.022331951,0.002846962,0.002033207,0.000497225,0.000831258,2.97E-05,0.000398679,3.67E-06,6.75E-06,0.004931539,0.001524568,6.31E-05,0.000151302,0.001773862,0.003851712,0.000226806,0.009793045,0.00882924,0.001088696,4.02E-05,0.001567727,0.030831908,5.89E-05,0.000379135,0.000498871,0.000156135,2.00E-05,3.27E-05,0.000312089,0.002776746,0.000796068,7.77E-05,0.00081377,0.001288493,0.002068744,0.000933352,0.019358038,0.086720292,0.010024569,0.004483013,0.001394056,0.000661888,0.005723098,3.38E-05,0.000649209,4.33E-06,0.000162545,0.050729608,0.000185318,0.005392522,0.000278557,0.004669668,8.64E-05,0.002359851,0.000484374,0.006233264,0,0.001753506,9.40E-05,0.000494478,0.006980388,0.000102067,0.003643625,0.001381738,0.008709728,0.005222516,0,0,0.001235724,0.000641161,0.001258206,0.016321722,0.053426616,0.002948939,0.000888277,8.85E-06,0.016419446,0.007521934,0.000121561,0.011345435,0.000223545,0.005710173,0.000115269,1.33E-06,0.000131835,0.000714185,0.006379955,0.002009579,0.000505127,0.000353956,0.000102851,0.000498577,0,1.20E-05,0.000252359,0.00332271,0,0.004092993,2.55E-05,0.000350545,0.000217912,0.000639144,0.000100891,0.002227857,0.000905625,0.000578929,0.000559486,1
0.001480528,0.000219042,0.092119305,0,0.003991477,0.000741105,1.88E-05,0.248911711,0.000227576,7.05E-05,0.00129199,0.002088108,0.012007896,0.001474663,0.000107508,0.002419907,0.001787957,0.000594379,0.001642826,0.006342919,0.003147199,0.008023324,0.010489321,0.005424383,2.26E-05,0.000177268,8.45E-05,0.000498029,0.000385261,1.74E-05,9.05E-05,0.001172869,1.47E-05,0.000172075,9.25E-05,0.000500436,0.001814445,0.014864996,4.57E-05,0.271437172,0.002408254,5.82E-07,4.77E-05,0.005044329,0.000760512,0.001178916,4.89E-07,1.85E-05,0.062605101,0.000228905,8.08E-05,0.00221722,0.00019108,0.029405772,0.002475665,0.000934969,3.48E-05,0.000113377,4.68E-06,0.000260326,0,0,0.003394164,0.000141478,6.47E-06,7.46E-07,0.000132668,0.002424235,0.000551299,0.003297169,0.006204387,0.001696044,4.09E-07,0.00058312,0.005330301,1.91E-06,5.07E-05,3.23E-05,3.81E-06,3.32E-06,0,7.04E-05,0.00276338,8.06E-05,9.75E-06,6.83E-05,2.68E-05,0.000989479,0.000210593,0.006885955,0.011896512,0.003373053,0.001998607,0.001456443,0.00143396,0.004360542,1.69E-06,0.000297129,0,0.000109434,0.035037816,1.42E-05,2.89E-05,9.12E-06,0.001075036,4.42E-05,0.000449361,0.000252378,0.000408975,1.97E-06,0.001783343,1.45E-06,0.000285938,0.000759876,1.74E-05,0.002070857,0.003530026,0.004145915,0.002866136,0,0,2.67E-05,6.82E-06,0.000132228,0.019326716,0.026643896,0.000907312,0.000185746,1.54E-05,0.008326079,0.003989369,0.000221,0.008093222,0,0.001657894,4.34E-05,0,1.08E-05,8.50E-05,0.008714217,0.000195461,9.17E-06,0.000509751,0.000126044,1.09E-05,0,1.89E-05,1.14E-05,0.000147316,0,0.000900982,1.50E-05,2.83E-05,2.49E-06,0.002549025,0.000173222,0.000114121,2.37E-05,1.46E-05,1.19E-05,1
0.001264238,0.000719809,0.096624001,1.28E-06,0.001549078,0.058825981,0.000262923,0.054070178,0.001476557,0.001632507,0.001720958,0.0172495,0.003703368,0.00300222,0.000766204,0.00644055,0.003526513,0.000156337,0.001474122,0.004449294,0.002062299,0.007263088,0.008437775,0.001521456,0.000104534,0.001448583,0.000187716,0.000749458,0.006209082,0.000153219,0.000922162,0.001200027,8.94E-05,0.000112685,0.001301374,0.00170772,0.00310128,0.015020596,0.000491382,0.007914498,0.119256899,2.12E-07,0.001417768,0.003704052,0.000940402,0.000661017,1.14E-05,6.87E-05,0.054330358,0.001372017,0.000788454,0.003814466,0.001014281,0.075724788,0.002027304,0.00076887,0.001083264,0.001089865,1.29E-05,1.49E-05,8.94E-07,6.95E-07,0.003623842,0.000991712,1.43E-05,6.88E-06,0.004622084,0.002094749,0.000194714,0.00396613,0.001389857,0.001343007,8.00E-06,0.000425552,0.022604971,3.78E-05,0.000382325,6.33E-05,0.02963922,0,0,0.000220652,0.00172901,0.000315246,6.48E-06,0.000533319,6.39E-05,0.000568853,0.000168117,0.00859028,0.02827637,0.016159872,0.002692598,0.000104705,0.000433689,0.003100012,4.65E-05,0.000431356,0,0.004632587,0.189724566,0.000740222,0.000138453,1.62E-05,0.000381854,8.01E-05,0.000318086,4.98E-05,0.000787974,1.84E-06,0.000451979,1.15E-05,0.000749089,0.002297433,3.56E-05,0.003684145,0.004425437,0.004264176,0.001799664,8.71E-07,0,0.000109936,7.57E-05,0.001203556,0.001582007,0.028613178,0.002611121,0.000101424,8.17E-06,0.009358548,0.00167191,6.66E-06,0.004420241,6.94E-05,0.000574886,4.71E-05,1.38E-06,7.94E-05,0.000765375,0.004611581,0.000315062,0.000171073,0.000428181,7.22E-05,0.000194431,3.48E-06,2.26E-05,9.96E-05,0.000397207,0,0.002001743,2.39E-05,0.000225543,0.000694412,0.001332236,0.000111701,0.000259542,0.000350462,0.000116625,4.99E-05,1
0.000561324,0.00027417,0.05919602,0,0.001359875,0.001586022,0.000122906,0.05257164,0.006967734,0.000130336,0.001023556,0.006423726,0.002466367,0.010821704,0.000589119,0.001612606,0.001744139,0.000185254,0.000683265,0.008825518,0.002054203,0.004514983,0.006983872,0.001163299,2.88E-05,0.000112628,0.000568693,0.000168809,0.006155738,0.000552634,9.33E-05,0.000578289,2.60E-05,1.90E-05,0.000250746,0.000519577,0.003343269,0.029764192,9.75E-05,0.025936025,0.351276606,1.73E-07,0.000195315,0.008862596,0.003251098,0.001415775,0,0.000703867,0.056077267,0.00041084,0.000438737,0.002975744,0.000293744,0.024202331,0.003019873,0.000479134,0.000129688,7.80E-05,7.34E-06,0.00065113,0,0,0.005095337,0.002844693,6.62E-06,1.49E-05,0.000342634,0.001764969,0.002674652,0.002380143,0.00964521,0.003037954,0.000198372,0.000295967,0.050031398,1.26E-06,0.00018448,0.000127305,1.38E-05,0,1.30E-06,5.90E-06,0.001698102,0.000237574,9.87E-06,0.000189259,0.000267124,0.00291071,0.000247433,8.88E-05,0.006278014,0.008034082,0.003693669,0.016807845,0.004856784,0.005115338,4.24E-05,0.000240423,0,0.000402116,0.07124351,0.000105749,0.001161733,4.59E-05,0.001354319,5.85E-05,0.003638423,0.002711353,0.001568222,0,0.000579832,2.48E-06,0.000664226,0.003723954,3.16E-05,0.00255731,0.003296789,0.002577289,0.00514611,0,0,0.000274707,0.000483475,0.00114888,0.003681382,0.017698635,0.00343419,0.002462341,3.89E-05,0.016058656,0.006306344,4.00E-05,0.005277332,4.70E-05,0.002044639,2.20E-05,7.53E-07,4.18E-05,0.000152663,0.010953965,0.000358169,7.84E-05,0.000136684,2.87E-05,0.000520375,0,1.12E-05,2.02E-05,0.000585285,0,0.001345785,5.77E-05,3.41E-05,0.000367832,0.000616678,0.000193419,0.000493625,6.02E-05,5.36E-05,7.04E-05,0
0.001491844,0.0002604,0.025929662,0,0.002484436,0.017907876,0.000182518,0.035405115,0.00286379,0.000611823,0.000807646,0.018888418,0.008718017,0.001573383,0.000240617,0.002568147,0.001159242,0.000901679,0.002284764,0.021826727,0.003418219,0.004322861,0.004660745,0.002210603,0.000191653,0.00121007,0.00201582,0.000566777,0.005108302,0.000239557,0.00021736,0.001701654,0.000127638,0.000145974,0.000806277,0.000723325,0.004917049,0.034707395,0.000274261,0.028916663,0.083739927,5.19E-06,0.000565891,0.001876811,0.002037597,0.001724911,1.55E-05,0.000376737,0.047742863,0.006339209,0.000946194,0.002659357,0.003945983,0.153355031,0.002025674,0.001354208,0.00060842,0.000415737,5.11E-05,0.000558605,0,0,0.012154212,0.002405217,3.32E-05,3.82E-05,0.001300688,0.002513598,0.000277261,0.00644287,0.005109553,0.001778155,0.000129253,0.000869416,0.007299049,0,0.000543235,0.000342461,0.000105499,0,0,0.000263022,0.001893684,0.001522236,3.92E-05,0.000579982,0.000608397,0.001511679,0.000409208,0.013005191,0.002442764,0.005107078,0.002525541,0.004301761,0.001074966,0.009276045,3.23E-06,0.000428645,8.64E-06,4.44E-05,0.136085091,0.001117456,0.002460719,0.00020824,0.003679555,0.000173792,0.001023645,0.000214438,0.006050653,8.71E-05,0.001302322,1.39E-05,0.002468199,0.012978214,8.05E-05,0.001568149,0.005333862,0.003962978,0.010013733,5.05E-06,0,0.000609496,0.000385819,0.003600119,0.021241946,0.019295269,0.027196743,0.004442306,9.17E-05,0.010334838,0.021094179,6.96E-05,0.014874144,3.34E-05,0.001388244,0.000120431,0,0.000187861,0.000442311,0.014227956,0.002888447,0.000964162,0.001075336,0.00016105,0.001767794,7.80E-06,0.000104027,0.000116053,0.005450595,0,0.002531533,0.001264806,0.000217766,0.010567134,0.001061222,0.000112794,0.002443589,0.000195549,0.000270925,0.000253226,1
0.000777352,0.000247491,0.079001047,0,0.00111716,0.033110453,0.00029839,0.029195475,0.001526841,0.000413015,0.001002615,0.019570992,0.004026261,0.001538388,0.000178669,0.000259104,0.000513177,0.000375515,0.00108321,0.008728527,0.00173178,0.003156423,0.006028259,0.000921126,0.000162844,0.002437896,0.001520707,0.000162552,0.001556206,8.81E-05,0.000158801,0.000936587,4.12E-05,1.83E-05,0.001037482,0.000625168,0.002290518,0.024228463,0.000630641,0.027567931,0.21445507,3.92E-06,0.001050879,0.00307112,0.000985003,0.000573609,2.51E-06,0.00045858,0.082829474,0.00092505,0.000458705,0.003258937,0.000692183,0.215855973,0.002041208,0.000418048,0.001879144,0.000198509,2.86E-05,0.000473252,6.93E-06,1.93E-05,0.004008501,0.001151306,8.24E-05,0.000127954,0.000517965,0.002830598,0.002767728,0.002711904,0.002632612,0.000366925,1.99E-05,0.000189316,0.003898694,3.79E-06,0.000452311,0.000365526,0.000241757,6.28E-07,0.000100856,0.000108511,0.001668328,0.001003428,1.53E-05,0.00032051,0.001111347,0.001056613,0.000265655,0.003566104,0.001350852,0.004086264,0.003282262,0.000226721,0.001655547,0.009437239,7.23E-05,0.000304145,2.32E-06,0.000121112,0.037909396,0.000373038,0.008088859,0.000419531,0.003244711,7.30E-05,0.000971247,0.000110773,0.001627243,6.46E-05,0.000789439,0.000260644,0.001059095,0.002078922,0.000127255,0.002156157,0.001020098,0.004213924,0.004924852,9.50E-07,1.34E-05,0.001509447,0.000881824,0.000878966,0.007661211,0.0167305,0.001652967,0.002215672,3.74E-06,0.009265005,0.00783907,0.000101254,0.015720113,0.00011206,0.000870488,7.72E-05,7.02E-06,0.000715457,0.000889145,0.007654199,0.001209834,0.000124814,0.001785601,0.000392072,9.95E-05,1.77E-05,3.04E-05,9.57E-05,0.003556551,0,0.002234107,0.000241785,0.000257729,0.000389698,0.001321773,0.000416425,0.002003834,0.000135227,0.000386689,0.000527303,1
0.0011529,0.000435996,0.02010181,0,0.000805682,0.00589245,3.23E-05,0.03742743,0.000860072,0.000170801,0.001090008,0.001275927,0.003086965,0.001375595,0.000211866,0.000464138,0.000581523,0.000488531,0.001053988,0.006417594,0.001442493,0.004867527,0.004734475,0.001115976,0.000108499,0.00047757,0.001582037,0.000502484,0.002292409,0.000432849,0.000407211,0.000656962,5.37E-05,0.000468809,0.00025726,0.000268631,0.002328774,0.01490126,3.63E-05,0.08264996,0.193783373,1.26E-05,0.006956045,0.00018165,0.004772206,0.001051964,5.40E-07,0.000139723,0.132378502,0.00313238,0.000223291,0.002899046,0.002853594,0.249832806,0.000836383,0.000663117,0.000310075,0.000544117,2.65E-05,0.000193972,0,0,0.005777933,0.000902642,5.01E-06,5.25E-06,0.000609191,0.001748807,0.000652215,0.003126415,0.00782836,0.005527274,2.22E-05,0.000525022,0.004092826,4.04E-06,0.000253315,6.45E-05,8.67E-06,9.25E-07,1.32E-06,3.04E-05,0.000354,0.000161351,6.57E-06,0.000198977,6.20E-05,0.00227201,0.000296835,1.35E-05,0.00304698,0.007008208,0.001167546,6.81E-05,0.000623418,0.00675591,5.09E-05,0.000414543,1.34E-06,0.004288472,0.024258681,0.001923555,0.000142935,8.63E-06,0.000414199,0.000135823,0.000823152,6.46E-05,0.024408115,1.58E-06,0.000916607,0.002005477,0.000501243,0.012249386,8.05E-06,0.00224775,0.003652446,0.001892687,0.001659528,0,0,3.53E-05,5.86E-05,8.90E-05,0.005971627,0.013520798,0.002222763,0.000894594,5.58E-06,0.006279206,0.004912262,5.46E-06,0.006932447,0,0.002326164,0.000142396,2.45E-06,4.12E-05,7.60E-05,0.004144363,0.000325702,0.000245789,0.000991706,8.71E-05,0.000594126,0,3.66E-05,1.76E-05,0.000646114,1.41E-06,0.00050189,0.001584672,6.07E-05,0.005396237,6.04E-05,0.000394062,0.000251578,0.002503432,3.90E-05,7.58E-06,0
0.000565144,0.000227188,0.022223908,0,0.000493139,0.025097716,3.10E-05,0.010376016,0.001617185,0.000209265,0.001159483,0.003571566,0.000880582,0.001998595,0.000111651,0.000468307,0.000514434,3.67E-05,0.000936848,0.006611515,0.001379529,0.003175481,0.002742842,0.000768866,4.36E-05,0.001674231,0.002085239,0.000102574,0.006296761,6.95E-05,0.000189717,0.000659536,2.34E-05,2.60E-05,0.000197635,9.47E-05,0.001447279,0.015694618,3.78E-05,0.256641684,0.206603423,1.08E-05,0.000247427,0.001371471,0.000674549,0.000227839,7.00E-07,9.55E-05,0.027316587,0.000894081,0.000206042,0.001072244,0.002289082,0.303184536,0.00063379,0.000217853,0.000122999,0.000122196,6.87E-06,9.11E-05,5.52E-07,0,0.003554539,0.000607264,9.10E-06,1.44E-05,0.000229998,0.00055933,0.000576341,0.002350612,0.003867182,0.000606861,0,0.000213621,0.00699645,1.66E-05,0.000135823,4.42E-05,1.04E-05,7.82E-07,0,9.85E-05,0.000437473,0.000148767,5.05E-06,0.000108486,1.84E-05,0.00120661,0.000162071,6.56E-06,0.002152823,0.000522282,0.001239784,3.25E-05,0.000984093,0.002084013,3.72E-05,0.000435401,4.03E-06,0.000410871,0.011810722,0.000203636,9.82E-05,1.08E-05,0.00074398,2.32E-05,0.000655344,9.35E-05,0.001633695,0,0.000335012,3.38E-06,0.00058956,0.003130056,1.98E-05,0.001076305,0.000988943,0.000916847,0.001245706,1.12E-06,0,0.000146687,3.61E-05,8.76E-05,0.00251147,0.006075799,0.001780958,0.000144052,3.56E-07,0.004118368,0.002805245,4.99E-06,0.005022823,0,0.000421134,0.000277316,0,1.33E-05,0.000133148,0.001693013,9.88E-05,0.001306512,0.000358732,8.52E-06,8.27E-05,0,2.95E-05,2.03E-05,0.000275545,0,0.001636842,6.20E-05,0.000134677,0.000134398,0.000849148,4.85E-05,0.000209255,8.76E-05,2.52E-05,2.01E-05,0
