ADAM17,BRCA1,LGALS3,LTA,MAPK14,MCAM,CIITA,MIF,MMP9,MNDA,MSH2,C1QA,MYC,NAB2,NBEA,NEDD4L,NEDD9,NFATC1,NFKB1,NME4,NRAS,NUCKS1,FAM210B,NUDT4,PBX1,PDE3B,PDGFA,PLA2G7,PLAUR,PLEK2,PLXDC2,PTEN,NLRC4,PTGS2,PTPRC,PTPRK,RBM5,RHOC,DENND2D,S100A4,S100A6,SCN3A,SERPINA1,CASP1,SERPINE1,SIAH2,SLC4A1,SOCS1,SPARC,SOCS3,ST14,TGFB1,THBS1,TIMP1,CASP3,TLK2,TLR2,TLR4,TLR9,TMOD1,TNF,TNFRSF13B,TNFRSF1A,TNFRSF1B,CD40LG,FASLG,TNS1,TP53,TSPAN5,TXNRD1,UBE2C,VEGFA,XK,ZBTB10,CCND1,CCR3,ALOX5,CCR5,CCR7,CCR9,CD19,CD28,CD4,CD40,CD80,CD86,CD8A,ANLN,CDC25A,CDH1,CDK2,CDKN1A,CDKN1B,CDKN2A,CDKN2D,CHPT1,CNKSR2,APAF1,CSF2,CTLA4,CTSD,CXCL1,CXCL10,CXCR3,DLC1,DPP4,E2F1,AXIN2,EGR1,ELANE,ERBB2,F5,FCGR2B,FOS,FOXP3,FYN,GADD45A,GLRX5,BAD,GYPA,GYPB,GZMA,GZMB,HLA-DRA,HMGA1,HMGB1,HMOX1,HOXA10,HSPA1A,BAX,ICAM1,ICOS,IFI16,IFNG,IGF2BP2,IL10,IL12B,IL15,IL18,BLVRB,IL18BP,IL1B,IL1R1,IL1R2,IL1RN,IL2,IL23A,IL2RA,IL32,IL5,BPGM,IL6,IL7R,CXCL8,INPP4B,IRAK3,IRF1,ITGA4,ITGAL,LCK,target
6.887366549,9.025837862,2.946589791,12.12541474,6.663354473,6.205123718,8.644186007,2.479405998,6.598474399,7.578814211,7.170051646,4.500254919,5.68730183,6.464030817,8.437370508,6.849698658,7.706429656,8.049686427,6.932383069,5.386236428,5.980387327,5.448893543,5.700922269,6.545389757,8.733205977,7.869909337,7.868026634,7.250838722,6.959242276,10.60870731,7.841904529,6.993203152,9.721165996,11.05550062,6.998124287,7.717420546,6.305803854,4.532763575,8.380632018,1.566044705,1.218108122,12.13282218,7.757357459,6.058725491,6.34408828,7.331064653,12.44432983,9.181102009,2.68737231,6.707102766,8.385156666,6.239284574,6.392511828,2.605771756,6.803291665,7.090479317,8.509269666,7.851460888,10.7381983,9.60486554,12.11440546,11.32230511,5.363521709,7.003421822,9.474305918,9.651950927,7.317008553,7.221190126,8.716296782,5.438914347,6.304449658,6.874917393,14.18367988,8.052286907,5.920266748,12.08385501,7.732780363,7.948068471,8.831903936,14.06397192,11.39959678,8.927608029,6.473016199,7.649867939,10.56901957,8.166856794,7.755555932,7.35771631,9.166696762,5.755298636,5.522144151,6.750895985,6.436949472,5.242681166,6.911294535,5.924419171,9.384693759,8.472506674,10.65003551,8.832458885,3.745054836,8.493852712,6.601908685,8.145791717,7.553478943,7.902383299,8.339155799,9.545813108,5.990694444,10.6670572,7.134421277,10.82982862,7.198431162,5.595096694,8.444812067,6.326880222,6.073514434,6.161790342,6.274779104,0.0,0.0,7.227983959,8.546400605,5.478212749,5.061721347,4.383217423,6.255922402,8.650496039,11.18362172,5.766392936,6.138470544,9.202927912,4.4167549,10.14683381,7.093521161,9.522315137,11.43596442,9.139676897,7.883183146,5.431615872,7.218251629,9.3313787,6.439456853,9.545813108,9.685155558,12.34074755,10.2803652,8.907520949,5.794924224,0.0,6.682544266,9.100481987,8.023555436,8.566320412,7.241882068,9.105475979,7.31105174,8.691475153,8.284701471,8.031783842,0
7.485212279,8.201762206,2.826900969,0.0,6.600362495,6.446526284,9.004090722,2.945578468,4.966465215,8.945394826,6.88447244,5.047756956,6.005009061,4.526201532,7.436882357,6.429903775,6.351494255,8.593782702,7.28862778,4.730107981,6.187867341,5.400353857,4.964151788,6.756495345,10.45513517,9.091420205,7.472169813,8.68674266,5.090370624,7.50081462,9.27969045,7.455436814,10.55741402,10.87107158,8.291070083,7.562495539,5.700806208,3.514449219,9.23565818,3.65212235,1.046181315,15.56997424,8.540896918,4.725915555,5.728762494,6.560078195,0.0,7.25892114,2.881024771,7.797306714,7.731610413,5.817261187,8.132801918,3.721306328,5.802540501,7.64353025,8.950378992,9.458801731,11.82217172,7.336801243,0.0,0.0,5.279429471,5.862300126,11.92541519,11.11414935,7.978847736,6.339622152,5.923936001,6.040594709,4.64129386,5.796571016,8.525366502,8.125262596,2.995104511,13.58439884,8.597969501,8.968924776,11.19084197,0.0,13.55314629,12.04055821,6.378244122,8.345031404,11.5260107,8.572394111,8.227797588,5.839358241,8.30437072,9.329123908,5.070701591,4.824062536,5.601135006,4.085909537,5.327378789,5.275511802,10.0683622,8.333110686,0.0,7.818769954,2.641651552,9.154442196,6.757842423,9.989045441,6.604456534,9.746483804,5.616204933,5.910307507,6.457812785,0.0,7.452772152,12.907252,7.316888105,5.592969272,10.36235344,5.968799354,5.714806315,5.961017208,5.26951419,0.0,0.0,8.199805483,7.634510951,6.768967724,5.604467054,4.034267761,5.673974189,6.006642756,10.15451631,4.13150726,5.066199168,10.1266311,5.244334612,9.965362956,6.192534033,10.7244681,14.09920061,10.08261422,8.78727768,4.514053788,7.934505616,9.453686631,8.897838866,10.45861344,7.560960852,0.0,11.39959678,10.80982795,7.44341165,0.0,6.610777793,9.760253384,10.28621317,7.907884246,7.39116355,8.550651738,7.613734438,9.717838206,9.83396149,9.561317295,0
6.765474772,7.737877489,3.906945418,0.0,7.123821434,5.134083409,10.34044333,3.285351421,7.058494451,8.675011422,6.821570243,6.664082306,5.780566871,6.588868914,8.459556559,7.675328636,7.449860034,7.624107629,6.855174214,5.048711998,6.541382412,5.325169274,5.352884435,6.798025921,9.128769602,7.646799812,6.449042022,7.595946759,6.078152049,7.745121621,7.806179079,7.32788438,9.832097556,7.665315122,8.265423311,8.222171867,6.06241333,4.206309506,10.22369282,2.493140939,1.641014378,11.28181374,4.968144213,8.613428799,5.344946607,6.857096386,14.4316967,8.875848667,2.02209002,5.76596218,8.407034704,5.843373562,5.859176027,1.386963361,7.086423916,7.318559113,8.078696354,7.516346261,10.53836582,8.547796739,0.0,0.0,5.153709273,7.010184539,12.20407464,12.15728248,7.403378711,6.348821438,7.335136296,5.767868298,4.850002242,5.198060533,10.71541827,7.552070391,5.498519594,12.41926587,8.280876784,9.648845334,11.65564177,13.8934721,13.53787882,10.40106795,7.946213645,8.731928442,11.93299673,8.522321318,9.688376173,6.087090377,8.122334129,11.21282087,5.793604343,4.960673245,6.752851169,9.594533345,7.380293317,4.997337602,9.885647634,7.788333849,13.52284094,5.451824787,3.718980746,6.253580242,8.853120576,11.66026605,7.789164023,8.90415799,7.102369684,9.647296147,3.71283962,13.35808571,6.994831749,6.211873341,7.598419545,4.402279466,11.72983847,6.097825563,5.612358199,6.269757766,6.401222054,0.0,0.0,10.25162759,9.744775861,9.326874188,5.120735859,4.303526186,6.109004262,7.019140574,12.09632178,5.07051174,5.316020751,12.11806177,4.971542426,0.0,6.06353472,8.856898649,12.91942253,10.0970723,9.484777218,5.486006181,8.029527705,8.311037114,6.916083866,9.348453674,7.42841914,0.0,10.21546232,10.94761166,7.344534599,13.47192085,7.597129586,6.447377833,9.70956686,5.22205342,9.714521453,7.839002301,8.287757477,5.990092689,10.15194891,11.78999736,0
7.478429992,8.389732689,3.806586633,0.0,7.614719476,3.684978433,10.38152335,4.56825829,6.427068296,8.471909167,6.759781063,5.634751124,7.034927505,6.215310845,9.100132623,7.666386494,7.572443291,10.2127338,6.972989509,5.018942453,6.586013142,5.752296162,5.89876067,7.170593856,10.04045341,6.392401324,6.172871802,9.184926069,5.067719905,9.574183805,8.56997707,7.323974,10.66277454,10.55741402,8.529088663,9.264796558,6.538070037,4.154437428,10.18320146,1.360074393,1.576954154,11.43596442,8.304394969,6.591871393,7.301466239,8.386871319,14.1721855,9.25638431,3.600261179,7.019714183,8.487430526,6.83800163,6.079604415,1.193413629,7.363792889,8.431690035,9.003334333,9.009884245,11.88834645,9.303552754,14.40971779,0.0,5.639529901,7.406546936,11.60723614,11.14828235,8.377439945,7.488770919,7.458811059,6.053079559,5.555229203,7.407210788,0.0,8.451307141,4.962352401,11.00610786,8.90415799,10.02678577,11.47370475,14.0614111,0.0,9.22545401,7.734495568,8.813129234,12.19612231,9.128889426,10.90315989,6.719940504,8.727476047,11.93451996,6.140975275,7.557302886,6.692818108,10.33427047,6.923790153,6.173459917,10.1992018,7.739243112,12.42174418,7.797231261,4.438747516,8.499176472,9.228504343,11.43596442,7.203496405,10.67135828,7.330350269,9.277549122,6.416910958,0.0,8.001344206,12.59763485,7.436134062,5.766704383,10.82982862,6.8342214,6.918873862,6.994569948,6.688052842,13.70218187,0.0,8.827209493,10.22921769,9.34272956,5.98688704,5.103441776,6.330603857,8.845336212,14.84833511,5.492298311,5.8762644,12.20807465,5.293763153,0.0,7.772559485,8.190352908,0.0,11.22774652,8.924049266,6.381245497,9.222412953,6.640394288,7.932934966,11.67309422,9.400290956,0.0,10.43112029,10.80488967,8.196759603,0.0,6.414986503,9.688376173,8.912631239,8.914705011,7.071277064,9.93394676,8.471956954,9.34272956,10.58866656,10.81479074,0
6.74684975,7.741404376,4.679445126,0.0,6.381725231,5.026822605,8.676229955,4.306305918,5.81972916,7.260499387,6.272874597,3.834355547,4.845657652,6.783176719,10.89234898,7.723802565,8.713658298,9.0523542,6.731572526,5.193357171,5.973412471,5.785697008,5.514890302,7.234537219,9.327998415,8.911458749,7.29569093,7.545552903,3.739736759,6.619973711,8.523608727,7.299749528,9.383503991,10.43112029,7.158141567,7.097520874,6.456954857,3.469989898,8.733212183,2.523582462,1.161557465,12.63378336,6.737068646,7.304905551,3.951432768,6.353222674,15.44515118,7.594489069,3.03051444,5.785535194,8.480239469,4.947922078,5.801175482,3.598968296,6.163254081,7.241951907,7.390296375,8.119461241,11.61164144,8.043848275,12.71025373,0.0,4.902030382,7.097285153,11.22774652,9.417364541,7.131132608,6.364878234,6.038452177,5.50510368,3.739596031,5.314785017,14.17075795,8.764699878,4.849356721,14.32300839,7.619891618,8.323223077,10.18850651,0.0,13.04540234,9.337038025,6.476378139,7.365822432,9.495359327,7.873454241,8.136898894,5.818323334,7.563429427,13.32081432,6.116160573,5.659728365,6.620051707,3.746990929,6.41859997,6.313546502,13.15282258,7.575960122,10.3220379,9.402712265,3.565216035,7.200453913,5.019127753,9.100034107,7.167321661,7.519103142,6.289059052,7.980322699,6.289359123,11.36450546,9.430987043,12.16877686,7.743637216,5.89420427,9.630411632,6.04384264,5.188516504,5.637234349,5.437416689,0.0,0.0,7.384168204,7.729913797,7.651244627,2.120117147,4.396803273,5.903247464,8.144602576,11.14828235,4.710755838,5.675385707,9.877819806,4.624214279,8.717853887,4.959274437,9.147760017,13.0270532,8.994076431,7.562301169,5.982410459,7.560424844,5.793268329,7.315903985,9.082140668,6.81048611,0.0,10.34044333,7.950519512,6.080929842,13.67574862,6.972148744,7.743247435,8.06982827,5.704077218,9.54301981,9.332508006,6.486823072,7.835122125,8.253660379,8.714790836,0
7.082552812,7.957637405,3.234171941,0.0,6.19253061,3.774378869,8.784197203,1.382333257,4.89279266,5.88856217,6.862966443,4.179439747,4.505723301,6.268986146,8.052283766,5.90620103,6.507545288,8.677138964,6.50024493,4.670987071,6.316638609,5.372240156,3.687191839,7.14050482,8.122219594,6.89065532,7.793936389,6.551878253,4.987231805,9.329123908,8.16583938,6.326520587,8.652623529,6.712621978,6.811545504,7.644935855,6.284287813,4.114204492,6.934341583,4.530300033,3.287194281,12.28511585,5.823952783,5.699101249,5.495376104,6.10737339,9.799127537,8.297804681,3.505724511,4.410679475,7.553847133,5.730822072,5.144353618,2.500965034,7.188925268,7.42387154,6.7284165,7.609828175,10.80488967,11.08765773,0.0,12.21008067,5.28615898,6.078985581,11.13448903,11.26606539,6.118522765,5.532177132,7.524721352,6.027609994,4.553009233,5.317581535,10.25730943,8.521658145,4.079494473,11.40856545,7.36496273,8.757107845,8.738257656,0.0,11.28181374,9.940151537,6.805603105,6.511406936,10.17267504,7.62931428,8.222782557,7.406383923,7.330721136,6.705546131,3.89456425,6.323038878,5.487316287,4.10383027,6.26024322,5.066575844,9.729534245,7.78688511,8.803829145,6.432335096,2.459747208,4.973699112,7.984423118,9.598948363,7.369746295,5.660166818,6.370663257,9.348453674,5.147945819,10.45861344,9.326874188,9.351903936,7.230064684,4.196230322,8.990105045,5.18772904,6.81425765,5.384707627,5.540262057,0.0,0.0,8.38491571,8.320582545,8.373465211,4.019899851,4.592865401,5.317765665,8.549406514,11.97179135,5.193009332,4.633758259,9.817309856,4.73055202,10.58866656,5.707943821,8.732399576,0.0,9.433483923,8.349849918,5.291845951,7.555722614,4.850124114,5.881904382,6.509811049,5.903671276,0.0,9.217364987,8.096150053,6.49790646,0.0,6.645244871,6.477806361,7.150053617,3.553386122,7.43715908,8.413770552,7.185980872,8.259922647,8.382041862,8.870260365,0
7.524695406,8.313713717,2.350683559,12.67447755,5.978696013,6.501297997,6.607381093,3.065900864,4.203405583,6.638191608,6.997321189,1.979032695,5.112880002,5.825935532,8.797919511,7.377757308,6.311583865,6.851541311,6.322297992,4.897163806,5.824810081,5.082506071,5.213569132,6.463573431,9.430987043,7.65625662,7.570384894,6.492916244,6.808739247,7.23898528,8.171676267,6.654436416,9.237711569,10.71092388,5.067128188,7.981243828,5.425010479,4.172351748,6.529061342,3.498643565,2.171437829,11.41761529,5.382659872,5.656300022,7.975107301,6.25866344,0.0,6.006513618,3.887496748,6.50474184,7.972006721,5.752034189,7.550416591,3.355268994,6.1012312,7.126925485,6.626766305,7.438997919,9.037101606,6.558946593,12.25526289,8.011201231,5.223709833,5.293999502,8.617964255,6.650556641,6.370137979,6.493602683,7.926624289,5.82803737,5.626624508,7.074675645,11.34741103,7.151975644,5.910117951,11.39959678,6.799377221,6.07491181,7.048812059,12.05765264,7.068246853,7.857328788,5.335848324,6.261138019,8.916544527,6.312453589,4.38475732,7.917716785,8.670711571,7.616668087,4.567504527,5.809890269,5.256453035,4.752716937,6.163895498,5.28447975,11.10746036,7.616511652,9.997798232,7.073356601,2.638630581,8.571633538,3.379441164,5.61213317,6.781052146,9.244931817,7.339195334,9.449867403,7.36638385,0.0,7.023107771,11.08765773,6.996093718,5.547732771,8.099937862,5.690166001,6.648315286,5.332263678,5.530155103,0.0,11.39959678,4.402272037,5.449645268,5.015502872,4.957879575,4.058693656,4.486991673,7.425840523,11.19084197,4.311351605,4.472006136,7.131630348,4.167762194,6.37313032,7.208522591,8.481435197,10.73360059,7.462895099,5.73631548,4.230176588,4.812638242,8.298961684,6.026323937,7.518894914,7.547826255,10.94194592,9.372859301,8.534176596,3.806084822,0.0,5.987734712,8.826780099,7.509634986,8.554692587,7.59683076,8.462245831,4.604524195,7.129248942,5.821156531,5.397188981,0
6.672557473,7.946267319,3.710219216,12.31812215,6.170337178,3.825254933,7.090149238,3.144888181,5.599003358,6.30859795,6.66627056,2.942185706,5.929020593,6.465881742,9.07077845,8.062579253,6.3358942,7.318548557,6.273032019,5.041697261,5.886256603,4.637015715,5.097000044,6.576923204,7.141943347,6.453392076,6.352591099,6.691375349,5.805824503,8.653660318,6.378728898,6.497960889,8.307759188,8.791163041,5.435909794,7.508784643,6.047380298,4.228747557,7.587686181,3.703833795,2.62107761,11.41761529,5.833761556,5.943132011,6.043832103,7.02888842,12.31812215,7.943522354,1.464645812,5.419946614,6.667492698,5.273064131,5.057593263,2.864331572,5.666556635,7.078696637,6.813281813,6.528081937,9.299171586,7.961057739,12.67767756,10.74745762,4.845111534,5.816406304,8.919127042,8.42383947,5.728341801,6.059641038,7.931191452,5.642537622,5.217750981,6.698023667,10.56901957,7.605878821,5.066401525,9.839574227,6.954524087,6.882076811,7.626503385,12.63993723,9.16265558,8.031870008,5.272653324,6.440437127,9.30026508,6.421077071,6.322032409,6.788812028,8.481695747,6.541360229,5.159387596,4.582704735,5.370770432,8.655105595,7.105168951,5.783654597,11.10081581,7.552502848,11.14828235,8.599911977,2.469570252,7.328016816,3.975232064,7.224919717,6.004901622,7.823471176,7.183407336,8.629337778,4.649761254,11.93299673,7.262192728,9.819146404,6.836719163,4.08963485,8.620051285,6.082092784,5.953991514,5.742744949,5.730468295,12.86385268,11.85965008,6.022481848,7.273935253,4.837617256,5.396406163,3.687903331,3.711658048,6.70490995,12.52903653,4.603814805,4.974418849,8.473520863,4.441773921,8.447979678,7.749441912,8.847567061,11.33897216,8.038926917,5.783142291,4.838804827,6.125928946,7.168964211,6.14783255,10.13415937,7.693552979,10.93070985,10.09950244,8.09734206,5.079302486,0.0,6.10122629,7.641495314,7.02178437,5.985121507,7.592950163,7.715572845,5.808245726,6.246928315,6.782869527,6.921937371,0
7.45333109,7.593942735,2.848227756,0.0,6.848305936,4.220252675,7.602065135,2.051341364,5.260393263,6.427324329,6.748060283,3.137722473,5.713567391,5.591975929,10.47264875,6.70066469,7.088093204,7.536096474,6.973026869,3.977964217,6.516772536,5.381781805,5.818569279,7.205002956,9.291550427,8.1812854,6.633876029,6.163611323,5.629168352,8.080261717,7.726592675,6.927564186,8.832568541,10.02452588,6.637336615,7.91922245,6.282891757,4.12673142,7.152996188,3.789372015,1.44809835,13.66709055,6.318672787,5.792952106,6.072719289,7.169065499,10.37830274,6.609351391,2.836749663,6.284499052,6.878793742,5.827246881,6.410320109,3.141803193,6.620774953,7.731045314,7.296202516,7.342760944,11.29781409,10.11174249,13.06409447,12.24273663,5.504298538,6.046515207,10.48330605,8.919149463,6.749995406,6.881245781,7.903944562,6.02944018,4.682759797,6.549087622,11.24289833,8.824241586,5.805148313,11.3818972,6.808588002,7.601398583,9.520949949,14.28871932,12.74392694,9.696473383,6.089287762,6.530030055,9.500692673,7.016635314,6.518047671,6.631164994,7.493794871,8.442382609,4.014737968,4.564098495,6.167132131,5.336952795,6.772877418,5.314588832,10.43792304,8.392549301,11.49312284,8.389468626,2.314624942,7.780835671,4.662409332,8.602898149,7.353694005,8.854660923,6.354255297,9.57562369,6.77188874,12.51259781,8.044867261,11.47370475,6.582573685,5.894975063,8.634170926,6.387334239,5.99211756,5.920295805,5.754807279,13.05938858,12.3430385,6.949121171,7.186923035,5.392485639,4.663205843,4.293589035,4.444895468,6.947073197,11.03669129,4.732097718,5.756716904,8.760124995,4.614973482,8.310187152,8.158232861,8.391173063,13.27318627,8.433081849,6.559797822,4.792489893,6.539427296,8.222979993,7.538329619,8.362131498,7.070437751,0.0,10.04045341,9.241831039,5.556720029,0.0,6.498911884,9.262686852,8.785621807,5.508605405,6.642150118,8.809077414,6.531039501,7.976661203,7.960690817,7.997254221,0
8.135017181,7.927874368,5.17104492,11.70529736,6.900820381,5.700707806,8.306677031,1.245536953,6.396467562,8.510599975,7.341584368,2.266901735,4.777847122,5.799858227,11.77689101,6.4626202,7.02630686,6.715699586,7.747589727,3.011580293,6.930275977,5.202645979,5.301430206,6.690443097,7.092873543,9.636518522,7.093611475,8.020036564,7.399890004,9.259530616,9.809997209,7.235641481,9.669206257,11.64989132,7.631541065,9.341588659,6.289229279,4.46492775,7.924302906,3.940807225,2.990394067,14.01885148,6.680600583,7.010744165,7.346768898,6.98576547,13.10256075,6.029983363,3.357767128,6.970163804,9.074830937,6.12895577,8.338248162,2.414669385,7.659973289,7.653194147,8.3600527,8.771453383,10.38799587,8.288524929,11.53210828,10.22645144,5.428057783,6.141520754,9.751625203,9.093206436,7.122686395,5.538634035,7.980232094,6.650137647,3.988361271,7.381808698,12.05937827,6.967376842,5.220877366,0.0,8.700485219,8.362765407,8.257239522,0.0,9.401500877,9.494030423,5.840192406,7.198601017,10.96480406,7.502261469,6.050610488,7.5617029,6.995604461,11.11414935,4.176693552,6.19489322,6.48683817,5.616165081,6.65376366,5.374215093,12.9526206,9.137340871,0.0,8.534807415,3.193798579,10.39778387,6.014990321,7.326149104,6.039397179,9.841452162,5.925164204,8.518699325,6.343678598,12.03886473,6.336491592,11.2505612,8.885275813,5.255103291,8.443691832,6.552985048,6.726619425,5.264147851,5.32573543,0.0,0.0,5.948910166,6.940482004,5.033912724,3.293756172,4.617367168,5.146483025,7.419151065,10.93070985,3.812126224,5.385892757,9.530545636,4.342445525,9.495359327,7.356077263,9.688376173,13.88486064,9.451138859,7.032362043,3.804262921,5.57763082,9.61680598,8.064605976,9.639586009,8.234370406,0.0,9.70956686,8.981890922,4.790179672,0.0,6.972917995,10.85540546,8.44990377,10.79021948,8.131498911,10.40106795,5.579552267,10.11915909,7.403670944,7.018911446,0
